 90Zr   40   50
           0.3846   0.0696
           0.7692   0.0712
           1.1538   0.0729
           1.5385   0.0740
           1.9231   0.0742
           2.3077   0.0738
           2.6923   0.0732
           3.0769   0.0719
           3.4615   0.0691
           3.8462   0.0637
           4.2308   0.0552
           4.6154   0.0442
           5.0000   0.0323
           5.3846   0.0213
           5.7692   0.0127
           6.1538   0.0068
           6.5385   0.0033
           6.9231   0.0015
           7.3077   0.0007
           7.6923   0.0002
           8.0769   0.0001
           8.4615   0.0000
           8.8462   0.0000
           9.2308   0.0000
           9.6154   0.0000
          10.0000   0.0000
XXXXXX
