 40Ca   20   20
           0.3077   0.0862
           0.6154   0.0848
           0.9231   0.0830
           1.2308   0.0813
           1.5385   0.0797
           1.8462   0.0781
           2.1538   0.0759
           2.4615   0.0723
           2.7692   0.0665
           3.0769   0.0586
           3.3846   0.0489
           3.6923   0.0383
           4.0000   0.0282
           4.3077   0.0194
           4.6154   0.0125
           4.9231   0.0076
           5.2308   0.0044
           5.5385   0.0024
           5.8462   0.0013
           6.1538   0.0006
           6.4615   0.0003
           6.7692   0.0001
           7.0769   0.0001
           7.3846   0.0000
           7.6923   0.0000
           8.0000   0.0000
XXXXXX
