  16O    8    8
           0.3077   0.0755
           0.6154   0.0776
           0.9231   0.0792
           1.2308   0.0786
           1.5385   0.0744
           1.8462   0.0666
           2.1538   0.0560
           2.4615   0.0440
           2.7692   0.0323
           3.0769   0.0220
           3.3846   0.0139
           3.6923   0.0081
           4.0000   0.0044
           4.3077   0.0024
           4.6154   0.0013
           4.9231   0.0008
           5.2308   0.0004
           5.5385   0.0002
           5.8462   0.0001
           6.1538   0.0001
           6.4615   0.0001
           6.7692   0.0001
           7.0769   0.0000
           7.3846   0.0000
           7.6923   0.0000
           8.0000   0.0000
XXXXXX
