208Pb   82  126
           0.4615   0.0644
           0.9231   0.0629
           1.3846   0.0615
           1.8462   0.0608
           2.3077   0.0611
           2.7692   0.0620
           3.2308   0.0628
           3.6923   0.0631
           4.1538   0.0632
           4.6154   0.0628
           5.0769   0.0609
           5.5385   0.0559
           6.0000   0.0471
           6.4615   0.0354
           6.9231   0.0233
           7.3846   0.0132
           7.8462   0.0065
           8.3077   0.0028
           8.7692   0.0010
           9.2308   0.0003
           9.6923   0.0000
          10.1538   0.0000
          10.6154   0.0000
          11.0769   0.0000
          11.5385   0.0000
          12.0000   0.0000
XXXXXX
